"Moving Violations",,
"6th Precinct",,
"     May ",,
006sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,9
"Brake Lights (Defect.or Improper)",4,68
"Bus Lane, Driving in",0,0
"Cell Phone",188,619
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",136,552
"Equipment (Other)",0,1
"Fail to Keep Right",0,0
"Fail to Signal",5,19
"Fail to Stop on Signal",181,398
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",7,130
"Improper Lights",0,0
"Improper Passing",11,28
"Improper Turn",97,484
"Improper/Missing Plates",1,1
"Not Giving R of W to Pedes.",122,255
"Not Giving R of W to Veh.",1,4
"One Way Street",29,62
"Pavement Markings",60,350
"Safety Belt",98,451
"School Bus, Passing Stopped",3,20
Speeding,23,39
Spillback,1,1
"Tinted Windows",11,66
"Truck Routes",1,4
U-Turn,1,15
Uninspected,0,1
Uninsured,23,133
"Unlicensed Operator",6,76
Unregistered,4,14
"Unsafe Lane Change",5,16
"Other Movers",56,212
"006    TOTAL Movers ",1075,4031
"* All figures are preliminary and subject to change.",,
