"Moving Violations",,
"32nd Precinct",,
"     May ",,
032sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",6,30
"Brake Lights (Defect.or Improper)",36,195
"Bus Lane, Driving in",0,0
"Cell Phone",112,312
"Commercial Veh on Pkwy",1,5
"Defective Brakes",2,6
"Disobey Sign",152,386
"Equipment (Other)",17,43
"Fail to Keep Right",0,2
"Fail to Signal",86,434
"Fail to Stop on Signal",36,122
"Following Too Closely",2,4
"Headlights (Defect. or Improper)",46,283
"Improper Lights",2,6
"Improper Passing",0,1
"Improper Turn",64,200
"Improper/Missing Plates",2,6
"Not Giving R of W to Pedes.",68,172
"Not Giving R of W to Veh.",2,16
"One Way Street",1,5
"Pavement Markings",311,700
"Safety Belt",76,213
"School Bus, Passing Stopped",2,14
Speeding,47,118
Spillback,8,12
"Tinted Windows",30,308
"Truck Routes",3,20
U-Turn,9,81
Uninspected,4,15
Uninsured,53,259
"Unlicensed Operator",41,184
Unregistered,18,54
"Unsafe Lane Change",1,18
"Other Movers",35,159
"032    TOTAL Movers ",1273,4383
"* All figures are preliminary and subject to change.",,
