"Moving Violations",,
"33rd Precinct",,
"     May ",,
033sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,13
"Brake Lights (Defect.or Improper)",27,172
"Bus Lane, Driving in",0,0
"Cell Phone",161,541
"Commercial Veh on Pkwy",0,6
"Defective Brakes",1,1
"Disobey Sign",102,250
"Equipment (Other)",3,11
"Fail to Keep Right",1,2
"Fail to Signal",15,71
"Fail to Stop on Signal",41,150
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",5,64
"Improper Lights",0,3
"Improper Passing",0,0
"Improper Turn",37,133
"Improper/Missing Plates",3,22
"Not Giving R of W to Pedes.",64,181
"Not Giving R of W to Veh.",3,5
"One Way Street",0,17
"Pavement Markings",5,10
"Safety Belt",115,359
"School Bus, Passing Stopped",0,15
Speeding,93,235
Spillback,0,1
"Tinted Windows",16,85
"Truck Routes",13,66
U-Turn,7,74
Uninspected,2,11
Uninsured,27,143
"Unlicensed Operator",14,91
Unregistered,12,52
"Unsafe Lane Change",3,12
"Other Movers",89,282
"033    TOTAL Movers ",861,3078
"* All figures are preliminary and subject to change.",,
