"Moving Violations",,
"43rd Precinct",,
"     May ",,
043sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",18,54
"Brake Lights (Defect.or Improper)",20,173
"Bus Lane, Driving in",0,0
"Cell Phone",148,324
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,0
"Disobey Sign",177,417
"Equipment (Other)",6,16
"Fail to Keep Right",1,6
"Fail to Signal",38,234
"Fail to Stop on Signal",36,121
"Following Too Closely",1,3
"Headlights (Defect. or Improper)",14,136
"Improper Lights",7,14
"Improper Passing",1,12
"Improper Turn",216,491
"Improper/Missing Plates",18,83
"Not Giving R of W to Pedes.",32,141
"Not Giving R of W to Veh.",1,22
"One Way Street",3,15
"Pavement Markings",41,160
"Safety Belt",81,313
"School Bus, Passing Stopped",4,9
Speeding,88,219
Spillback,0,6
"Tinted Windows",83,756
"Truck Routes",2,4
U-Turn,5,23
Uninspected,0,2
Uninsured,19,110
"Unlicensed Operator",72,296
Unregistered,8,36
"Unsafe Lane Change",15,60
"Other Movers",88,221
"043    TOTAL Movers ",1243,4478
"* All figures are preliminary and subject to change.",,
