"Moving Violations",,
"Midtown North Precinct",,
"February ",,
018sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",3,6
"Brake Lights (Defect.or Improper)",37,66
"Bus Lane, Driving in",5,17
"Cell Phone",117,193
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",69,110
"Disobey Traffic Control Device",295,561
"Equipment (Other)",1,1
"Fail to Keep Right",0,0
"Fail to Signal",4,8
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",77,130
"Improper Lights",0,0
"Improper Passing",1,1
"Improper Turn",217,359
"Improper/Missing Plates",16,24
"Not Giving R of W to Pedes.",65,76
"Not Giving R of W to Veh.",1,2
"One Way Street",2,4
"Pavement Markings",7,7
"Safety Belt",84,142
"School Bus, Passing Stopped",0,0
Speeding,8,8
Spillback,2,2
"Tinted Windows",15,18
"Truck Routes",0,0
U-Turn,3,6
Uninspected,0,0
Uninsured,47,77
"Unlicensed Operator",26,44
Unregistered,11,19
"Unsafe Lane Change",11,18
"Other Movers",50,64
"018    TOTAL Movers ",1174,1963
"* All figures are preliminary and subject to change.",,
