"Moving Violations",,
"Staten Island",,
"February ",,
pbsisum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",3,7
"Brake Lights (Defect.or Improper)",71,127
"Bus Lane, Driving in",2,4
"Cell Phone",189,291
"Commercial Veh on Pkwy",1,3
"Defective Brakes",2,2
"Disobey Steady Red Signal",213,312
"Disobey Traffic Control Device",625,974
"Equipment (Other)",17,30
"Fail to Keep Right",1,1
"Fail to Signal",290,496
"Following Too Closely",10,15
"Headlights (Defect. or Improper)",124,241
"Improper Lights",1,4
"Improper Passing",12,16
"Improper Turn",24,39
"Improper/Missing Plates",49,71
"Not Giving R of W to Pedes.",61,87
"Not Giving R of W to Veh.",20,33
"One Way Street",8,11
"Pavement Markings",99,216
"Safety Belt",274,431
"School Bus, Passing Stopped",10,13
Speeding,442,738
Spillback,3,5
"Tinted Windows",437,664
"Truck Routes",5,6
U-Turn,21,36
Uninspected,26,45
Uninsured,205,343
"Unlicensed Operator",327,555
Unregistered,64,100
"Unsafe Lane Change",17,31
"Other Movers",224,332
"PBSI   TOTAL Movers ",3877,6279
"* All figures are preliminary and subject to change.",,
