5th Precinct,,
February ,,
005sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,2,2
Brake Lights (Defect.or Improper),9,36
"Bus Lane, Driving in",3,3
Cell Phone,42,60
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,53,73
Disobey Traffic Control Device,181,348
Equipment (Other),19,25
Fail to Keep Right,0,0
Fail to Signal,6,11
Following Too Closely,0,0
Headlights (Defect. or Improper),29,58
Improper Lights,0,0
Improper Passing,3,5
Improper Turn,99,163
Improper/Missing Plates,1,3
Not Giving R of W to Pedes.,34,40
Not Giving R of W to Veh.,2,2
One Way Street,2,3
Pavement Markings,20,28
Safety Belt,56,69
"School Bus, Passing Stopped",0,0
Speeding,18,18
Spillback,3,5
Tinted Windows,23,30
Truck Routes,0,0
U-Turn,1,5
Uninspected,0,0
Uninsured,15,25
Unlicensed Operator,14,22
Unregistered,13,17
Unsafe Lane Change,1,2
Other Movers,38,59
005    TOTAL Movers ,687,1112
