1st Precinct,,
February ,,
001sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,1,1
Brake Lights (Defect.or Improper),0,4
"Bus Lane, Driving in",1,2
Cell Phone,176,329
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,79,145
Disobey Traffic Control Device,236,365
Equipment (Other),3,10
Fail to Keep Right,0,0
Fail to Signal,13,23
Following Too Closely,0,0
Headlights (Defect. or Improper),1,11
Improper Lights,0,2
Improper Passing,7,7
Improper Turn,93,183
Improper/Missing Plates,0,0
Not Giving R of W to Pedes.,26,57
Not Giving R of W to Veh.,3,4
One Way Street,7,19
Pavement Markings,39,55
Safety Belt,69,125
"School Bus, Passing Stopped",0,0
Speeding,17,19
Spillback,2,2
Tinted Windows,56,115
Truck Routes,3,6
U-Turn,2,2
Uninspected,0,0
Uninsured,8,12
Unlicensed Operator,8,14
Unregistered,1,1
Unsafe Lane Change,4,6
Other Movers,19,26
001    TOTAL Movers ,874,1545
