"Moving Violations",,
"70th Precinct",,
"February ",,
070sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",8,9
"Brake Lights (Defect.or Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",144,207
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",81,107
"Disobey Traffic Control Device",189,298
"Equipment (Other)",1,1
"Fail to Keep Right",0,0
"Fail to Signal",0,0
"Following Too Closely",2,4
"Headlights (Defect. or Improper)",0,0
"Improper Lights",10,38
"Improper Passing",37,42
"Improper Turn",326,412
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",165,201
"Not Giving R of W to Veh.",17,36
"One Way Street",0,0
"Pavement Markings",0,0
"Safety Belt",196,270
"School Bus, Passing Stopped",2,3
Speeding,15,54
Spillback,3,6
"Tinted Windows",181,315
"Truck Routes",0,1
U-Turn,0,0
Uninspected,0,0
Uninsured,43,109
"Unlicensed Operator",138,201
Unregistered,11,17
"Unsafe Lane Change",21,34
"Other Movers",33,46
"070    TOTAL Movers ",1623,2411
"* All figures are preliminary and subject to change.",,
