"Moving Violations",,
"47th Precinct",,
"February ",,
047sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",4,4
"Brake Lights (Defect.or Improper)",45,64
"Bus Lane, Driving in",0,0
"Cell Phone",47,87
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",18,35
"Disobey Traffic Control Device",164,253
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",0,2
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",47,85
"Improper Lights",0,0
"Improper Passing",1,1
"Improper Turn",82,169
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",19,46
"Not Giving R of W to Veh.",1,2
"One Way Street",0,0
"Pavement Markings",0,1
"Safety Belt",53,100
"School Bus, Passing Stopped",7,7
Speeding,38,61
Spillback,0,0
"Tinted Windows",135,224
"Truck Routes",0,0
U-Turn,0,0
Uninspected,1,9
Uninsured,67,122
"Unlicensed Operator",57,119
Unregistered,21,42
"Unsafe Lane Change",0,0
"Other Movers",39,77
"047    TOTAL Movers ",846,1511
"* All figures are preliminary and subject to change.",,
