49th Precinct,,
February ,,
049sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,0
Brake Lights (Defect.or Improper),81,119
"Bus Lane, Driving in",0,0
Cell Phone,51,91
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,15,25
Disobey Traffic Control Device,125,218
Equipment (Other),2,2
Fail to Keep Right,0,1
Fail to Signal,20,40
Following Too Closely,0,5
Headlights (Defect. or Improper),57,109
Improper Lights,0,1
Improper Passing,3,3
Improper Turn,28,54
Improper/Missing Plates,6,8
Not Giving R of W to Pedes.,47,64
Not Giving R of W to Veh.,4,6
One Way Street,0,0
Pavement Markings,7,14
Safety Belt,133,186
"School Bus, Passing Stopped",0,1
Speeding,37,71
Spillback,0,1
Tinted Windows,55,105
Truck Routes,0,0
U-Turn,61,67
Uninspected,0,4
Uninsured,48,65
Unlicensed Operator,61,92
Unregistered,13,24
Unsafe Lane Change,4,9
Other Movers,16,23
049    TOTAL Movers ,874,1408
