"Moving Violations",,
"121st Precinct",,
"February ",,
121sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",1,3
"Brake Lights (Defect.or Improper)",22,39
"Bus Lane, Driving in",0,0
"Cell Phone",33,50
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",59,87
"Disobey Traffic Control Device",167,237
"Equipment (Other)",5,8
"Fail to Keep Right",0,0
"Fail to Signal",167,299
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",29,51
"Improper Lights",1,1
"Improper Passing",0,2
"Improper Turn",7,12
"Improper/Missing Plates",7,12
"Not Giving R of W to Pedes.",19,25
"Not Giving R of W to Veh.",6,10
"One Way Street",2,2
"Pavement Markings",72,150
"Safety Belt",24,52
"School Bus, Passing Stopped",0,1
Speeding,54,108
Spillback,1,3
"Tinted Windows",113,196
"Truck Routes",0,0
U-Turn,4,10
Uninspected,6,6
Uninsured,62,98
"Unlicensed Operator",100,178
Unregistered,10,16
"Unsafe Lane Change",1,6
"Other Movers",57,91
"121    TOTAL Movers ",1030,1754
"* All figures are preliminary and subject to change.",,
