9th Precinct,,
February ,,
009sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,0
Brake Lights (Defect.or Improper),2,3
"Bus Lane, Driving in",0,0
Cell Phone,135,213
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,105,167
Disobey Traffic Control Device,167,253
Equipment (Other),1,3
Fail to Keep Right,0,0
Fail to Signal,10,15
Following Too Closely,0,0
Headlights (Defect. or Improper),17,23
Improper Lights,0,0
Improper Passing,0,1
Improper Turn,74,146
Improper/Missing Plates,3,8
Not Giving R of W to Pedes.,23,43
Not Giving R of W to Veh.,0,0
One Way Street,2,3
Pavement Markings,31,57
Safety Belt,84,149
"School Bus, Passing Stopped",2,2
Speeding,7,7
Spillback,0,0
Tinted Windows,5,7
Truck Routes,0,0
U-Turn,0,1
Uninspected,4,6
Uninsured,11,19
Unlicensed Operator,30,50
Unregistered,5,6
Unsafe Lane Change,13,27
Other Movers,27,55
009    TOTAL Movers ,758,1264
