"Moving Violations",,
"44th Precinct",,
"February ",,
044sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",3,6
"Brake Lights (Defect.or Improper)",42,58
"Bus Lane, Driving in",0,0
"Cell Phone",39,72
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",28,75
"Disobey Traffic Control Device",164,388
"Equipment (Other)",3,6
"Fail to Keep Right",0,0
"Fail to Signal",3,12
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",53,64
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",29,56
"Improper/Missing Plates",3,8
"Not Giving R of W to Pedes.",21,37
"Not Giving R of W to Veh.",2,2
"One Way Street",1,1
"Pavement Markings",3,8
"Safety Belt",55,116
"School Bus, Passing Stopped",12,18
Speeding,6,41
Spillback,10,12
"Tinted Windows",38,62
"Truck Routes",0,0
U-Turn,4,6
Uninspected,2,7
Uninsured,21,41
"Unlicensed Operator",39,82
Unregistered,14,36
"Unsafe Lane Change",3,4
"Other Movers",18,31
"044    TOTAL Movers ",617,1250
"* All figures are preliminary and subject to change.",,
