"Moving Violations",,
"17th Precinct",,
"February ",,
017sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",2,4
"Brake Lights (Defect.or Improper)",33,62
"Bus Lane, Driving in",2,4
"Cell Phone",32,47
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",39,59
"Disobey Traffic Control Device",54,84
"Equipment (Other)",2,5
"Fail to Keep Right",2,2
"Fail to Signal",84,183
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",2,7
"Improper Lights",0,0
"Improper Passing",75,136
"Improper Turn",117,241
"Improper/Missing Plates",2,2
"Not Giving R of W to Pedes.",21,28
"Not Giving R of W to Veh.",0,0
"One Way Street",4,8
"Pavement Markings",88,190
"Safety Belt",6,9
"School Bus, Passing Stopped",0,0
Speeding,12,20
Spillback,1,1
"Tinted Windows",3,3
"Truck Routes",0,0
U-Turn,1,2
Uninspected,0,0
Uninsured,19,31
"Unlicensed Operator",11,16
Unregistered,2,3
"Unsafe Lane Change",156,318
"Other Movers",47,80
"017    TOTAL Movers ",818,1546
"* All figures are preliminary and subject to change.",,
