"Moving Violations",,
"23rd Precinct",,
"February ",,
023sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",1,2
"Brake Lights (Defect.or Improper)",7,18
"Bus Lane, Driving in",1,1
"Cell Phone",159,303
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",61,123
"Disobey Traffic Control Device",44,74
"Equipment (Other)",4,8
"Fail to Keep Right",0,0
"Fail to Signal",7,11
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",11,31
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",57,107
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",52,109
"Not Giving R of W to Veh.",1,1
"One Way Street",0,0
"Pavement Markings",2,2
"Safety Belt",34,81
"School Bus, Passing Stopped",0,0
Speeding,8,18
Spillback,0,0
"Tinted Windows",20,34
"Truck Routes",2,4
U-Turn,2,2
Uninspected,0,0
Uninsured,2,5
"Unlicensed Operator",7,17
Unregistered,2,2
"Unsafe Lane Change",1,5
"Other Movers",6,17
"023    TOTAL Movers ",491,975
"* All figures are preliminary and subject to change.",,
