"Moving Violations",,
"102nd Precinct",,
"February ",,
102sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",2,18
"Bus Lane, Driving in",0,0
"Cell Phone",49,106
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,2
"Disobey Steady Red Signal",40,91
"Disobey Traffic Control Device",200,291
"Equipment (Other)",3,4
"Fail to Keep Right",0,0
"Fail to Signal",19,44
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,8
"Improper Lights",28,38
"Improper Passing",0,4
"Improper Turn",45,85
"Improper/Missing Plates",1,3
"Not Giving R of W to Pedes.",57,114
"Not Giving R of W to Veh.",2,3
"One Way Street",0,0
"Pavement Markings",1,1
"Safety Belt",83,171
"School Bus, Passing Stopped",1,2
Speeding,24,111
Spillback,1,2
"Tinted Windows",116,158
"Truck Routes",0,0
U-Turn,0,0
Uninspected,3,3
Uninsured,30,61
"Unlicensed Operator",54,104
Unregistered,8,12
"Unsafe Lane Change",1,3
"Other Movers",29,58
"102    TOTAL Movers ",797,1497
"* All figures are preliminary and subject to change.",,
