"Moving Violations",,
"109th Precinct",,
"October  ",,
109sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,8
"Brake Lights (Defect.or Improper)",2,31
"Bus Lane, Driving in",0,0
"Cell Phone",140,1898
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,1
"Disobey Sign",601,6574
"Equipment (Other)",22,134
"Fail to Keep Right",1,9
"Fail to Signal",26,107
"Fail to Stop on Signal",94,986
"Following Too Closely",0,8
"Headlights (Defect. or Improper)",0,20
"Improper Lights",0,0
"Improper Passing",10,55
"Improper Turn",86,635
"Improper/Missing Plates",5,79
"Not Giving R of W to Pedes.",35,701
"Not Giving R of W to Veh.",16,158
"One Way Street",3,42
"Pavement Markings",35,193
"Safety Belt",234,3377
"School Bus, Passing Stopped",153,307
Speeding,77,702
Spillback,3,86
"Tinted Windows",222,1507
"Truck Routes",5,94
U-Turn,5,78
Uninspected,10,74
Uninsured,28,316
"Unlicensed Operator",95,1091
Unregistered,17,179
"Unsafe Lane Change",3,56
"Other Movers",65,1003
"109    TOTAL Movers ",1993,20510
"* All figures are preliminary and subject to change.",,
