1st Precinct,,
October  ,,
001sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,14
Brake Lights (Defect.or Improper),0,14
"Bus Lane, Driving in",2,33
Cell Phone,219,2188
Commercial Veh on Pkwy,0,0
Defective Brakes,0,1
Disobey Sign,152,2033
Equipment (Other),3,161
Fail to Keep Right,0,1
Fail to Signal,13,162
Fail to Stop on Signal,69,735
Following Too Closely,0,3
Headlights (Defect. or Improper),1,32
Improper Lights,1,14
Improper Passing,1,33
Improper Turn,58,766
Improper/Missing Plates,1,17
Not Giving R of W to Pedes.,38,359
Not Giving R of W to Veh.,2,11
One Way Street,50,226
Pavement Markings,16,321
Safety Belt,151,1217
"School Bus, Passing Stopped",11,29
Speeding,13,127
Spillback,2,21
Tinted Windows,55,428
Truck Routes,5,41
U-Turn,4,15
Uninspected,0,11
Uninsured,7,185
Unlicensed Operator,10,193
Unregistered,2,48
Unsafe Lane Change,2,52
Other Movers,28,393
001    TOTAL Movers ,916,9884
