Staten Island,,
October  ,,
pbsisum,,
"",MTD   2014,YTD   2014
Backing Unsafely,6,44
Brake Lights (Defect.or Improper),113,1562
"Bus Lane, Driving in",16,103
Cell Phone,344,3432
Commercial Veh on Pkwy,8,37
Defective Brakes,0,7
Disobey Sign,851,7280
Equipment (Other),39,395
Fail to Keep Right,2,23
Fail to Signal,281,2104
Fail to Stop on Signal,201,1786
Following Too Closely,16,113
Headlights (Defect. or Improper),142,1439
Improper Lights,10,102
Improper Passing,26,164
Improper Turn,28,416
Improper/Missing Plates,59,452
Not Giving R of W to Pedes.,70,494
Not Giving R of W to Veh.,25,182
One Way Street,4,74
Pavement Markings,277,2828
Safety Belt,346,4139
"School Bus, Passing Stopped",44,167
Speeding,375,5131
Spillback,2,33
Tinted Windows,321,2065
Truck Routes,4,93
U-Turn,18,220
Uninspected,37,514
Uninsured,302,2899
Unlicensed Operator,385,3765
Unregistered,66,649
Unsafe Lane Change,19,128
Other Movers,372,3370
PBSI   TOTAL Movers ,4809,46210
