9th Precinct,,
October  ,,
009sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,10
Brake Lights (Defect.or Improper),2,40
"Bus Lane, Driving in",0,9
Cell Phone,136,1622
Commercial Veh on Pkwy,0,0
Defective Brakes,0,1
Disobey Sign,101,1356
Equipment (Other),5,71
Fail to Keep Right,0,0
Fail to Signal,2,64
Fail to Stop on Signal,104,1000
Following Too Closely,0,7
Headlights (Defect. or Improper),11,120
Improper Lights,0,1
Improper Passing,1,10
Improper Turn,107,798
Improper/Missing Plates,11,58
Not Giving R of W to Pedes.,50,235
Not Giving R of W to Veh.,0,5
One Way Street,2,37
Pavement Markings,27,238
Safety Belt,89,918
"School Bus, Passing Stopped",4,15
Speeding,2,32
Spillback,0,5
Tinted Windows,15,130
Truck Routes,0,0
U-Turn,0,5
Uninspected,2,23
Uninsured,19,217
Unlicensed Operator,25,274
Unregistered,2,46
Unsafe Lane Change,6,38
Other Movers,26,305
009    TOTAL Movers ,749,7690
