"Moving Violations",,
"34th Precinct",,
"October  ",,
034sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,1
"Brake Lights (Defect.or Improper)",7,63
"Bus Lane, Driving in",0,0
"Cell Phone",47,567
"Commercial Veh on Pkwy",0,5
"Defective Brakes",0,1
"Disobey Sign",153,1435
"Equipment (Other)",2,17
"Fail to Keep Right",3,11
"Fail to Signal",1,33
"Fail to Stop on Signal",28,179
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",6,44
"Improper Lights",0,9
"Improper Passing",0,5
"Improper Turn",38,444
"Improper/Missing Plates",1,24
"Not Giving R of W to Pedes.",18,188
"Not Giving R of W to Veh.",4,9
"One Way Street",0,4
"Pavement Markings",5,69
"Safety Belt",29,375
"School Bus, Passing Stopped",0,26
Speeding,20,115
Spillback,0,2
"Tinted Windows",28,99
"Truck Routes",0,15
U-Turn,0,24
Uninspected,1,10
Uninsured,10,78
"Unlicensed Operator",24,229
Unregistered,4,33
"Unsafe Lane Change",1,4
"Other Movers",28,332
"034    TOTAL Movers ",458,4450
"* All figures are preliminary and subject to change.",,
