"Moving Violations",,
"19th Precinct",,
"October  ",,
019sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,11
"Brake Lights (Defect.or Improper)",82,899
"Bus Lane, Driving in",2,57
"Cell Phone",83,1189
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,10
"Disobey Sign",495,3805
"Equipment (Other)",1,26
"Fail to Keep Right",0,1
"Fail to Signal",44,361
"Fail to Stop on Signal",105,943
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",27,364
"Improper Lights",0,3
"Improper Passing",1,15
"Improper Turn",511,4098
"Improper/Missing Plates",6,33
"Not Giving R of W to Pedes.",37,604
"Not Giving R of W to Veh.",0,3
"One Way Street",21,190
"Pavement Markings",165,891
"Safety Belt",17,249
"School Bus, Passing Stopped",3,30
Speeding,1,71
Spillback,0,12
"Tinted Windows",37,306
"Truck Routes",5,69
U-Turn,1,10
Uninspected,1,72
Uninsured,81,841
"Unlicensed Operator",50,428
Unregistered,27,356
"Unsafe Lane Change",64,259
"Other Movers",28,677
"019    TOTAL Movers ",1897,16885
"* All figures are preliminary and subject to change.",,
