"Moving Violations",,
"6th Precinct",,
"October  ",,
006sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,16
"Brake Lights (Defect.or Improper)",7,93
"Bus Lane, Driving in",0,0
"Cell Phone",137,1271
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,5
"Disobey Sign",156,1159
"Equipment (Other)",0,1
"Fail to Keep Right",0,0
"Fail to Signal",15,63
"Fail to Stop on Signal",156,1014
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",8,176
"Improper Lights",0,0
"Improper Passing",2,41
"Improper Turn",113,1009
"Improper/Missing Plates",1,3
"Not Giving R of W to Pedes.",95,683
"Not Giving R of W to Veh.",2,9
"One Way Street",9,145
"Pavement Markings",75,784
"Safety Belt",118,986
"School Bus, Passing Stopped",21,81
Speeding,12,75
Spillback,3,14
"Tinted Windows",14,107
"Truck Routes",0,4
U-Turn,4,24
Uninspected,1,4
Uninsured,18,265
"Unlicensed Operator",30,202
Unregistered,2,24
"Unsafe Lane Change",17,77
"Other Movers",33,454
"006    TOTAL Movers ",1049,8793
"* All figures are preliminary and subject to change.",,
