"Moving Violations",,
"1st Precinct",,
"    June ",,
001sum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",1,3
"Brake Lights (Defect.or Improper)",0,7
"Bus Lane, Driving in",0,5
"Cell Phone",213,1318
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",141,504
"Disobey Traffic Control Device",197,1213
"Equipment (Other)",17,76
"Fail to Keep Right",0,1
"Fail to Signal",23,109
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,15
"Improper Lights",1,5
"Improper Passing",4,13
"Improper Turn",89,582
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",84,255
"Not Giving R of W to Veh.",0,7
"One Way Street",28,99
"Pavement Markings",43,227
"Safety Belt",106,625
"School Bus, Passing Stopped",0,2
Speeding,10,63
Spillback,0,5
"Tinted Windows",46,284
"Truck Routes",3,22
U-Turn,1,9
Uninspected,0,0
Uninsured,14,55
"Unlicensed Operator",7,58
Unregistered,4,15
"Unsafe Lane Change",5,31
"Other Movers",27,143
"001   TOTAL Movers ",1064,5751
"* All figures are preliminary and subject to change.",,
