"Moving Violations",,
"Midtown North Precinct",,
"October  ",,
018sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",5,23
"Brake Lights (Defect.or Improper)",30,327
"Bus Lane, Driving in",6,80
"Cell Phone",137,1156
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",109,701
"Disobey Traffic Control Device",296,2753
"Equipment (Other)",2,22
"Fail to Keep Right",0,2
"Fail to Signal",21,307
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",30,322
"Improper Lights",0,0
"Improper Passing",1,4
"Improper Turn",249,1406
"Improper/Missing Plates",9,106
"Not Giving R of W to Pedes.",90,328
"Not Giving R of W to Veh.",2,11
"OBSTRUCTED PLATE",2,17
"One Way Street",11,77
"Pavement Markings",10,58
"Safety Belt",70,717
"School Bus, Passing Stopped",0,4
Speeding,43,239
Spillback,8,29
"Tinted Windows",40,487
"Truck Routes",0,2
U-Turn,0,67
Uninspected,0,8
Uninsured,15,251
"Unlicensed Operator",51,319
Unregistered,20,217
"Unsafe Lane Change",8,79
"Other Movers",41,514
"018TOTAL Movers ",1306,10634
,,
"* All figures are preliminary and subject to change.",,
