Housing Bureau,,
   April ,,
"","",""
Backing Unsafely,2,3
Bike Lane,0,0
Bus Lane,16,16
Cell Phone,0,2
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,55,75
Driving Too Slow,0,0
Equipment,16,36
Equipment (Other),0,1
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,0,0
Failure to Signal,2,8
Following Too Closely,0,0
Improper Passing,0,0
Improper Taxi Pickup,5,5
Improper Turn,18,19
Improper/Missing Plates,0,0
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,1
Not Giving R of W to Veh.,0,2
Obstructed Plate,4,8
One Way Street,2,3
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,4,8
School Bus,0,1
Scooter In NYC,0,0
Seat Belt,28,29
Speeding,4,4
Spillback,6,6
TBTA Rule,0,0
Tints,93,104
TLC (Other),0,0
Truck Route,0,0
Uninspected,1,1
Uninsured,4,6
Unlicensed Operator,1,13
Unregistered,4,5
Unsafe Lane Change,0,1
Other Movers,11,14
HOUSINGTOTAL Movers ,276,371
