Transit Bureau,,
   April ,,
"","",""
Backing Unsafely,1,1
Bike Lane,0,0
Bus Lane,40,40
Cell Phone,5,5
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,66,69
Driving Too Slow,0,0
Equipment,7,7
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,0,0
Failure to Signal,1,1
Following Too Closely,0,0
Improper Passing,0,0
Improper Taxi Pickup,2,2
Improper Turn,15,15
Improper/Missing Plates,0,0
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,0
Not Giving R of W to Veh.,0,1
Obstructed Plate,0,0
One Way Street,0,0
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,0,0
School Bus,0,0
Scooter In NYC,0,0
Seat Belt,11,11
Speeding,0,0
Spillback,24,24
TBTA Rule,0,0
Tints,61,61
TLC (Other),0,0
Truck Route,0,0
Uninspected,0,0
Uninsured,0,0
Unlicensed Operator,4,4
Unregistered,2,2
Unsafe Lane Change,0,0
Other Movers,5,5
TRANSITTOTAL Movers ,244,248
