19th Precinct,,
    July ,,
019sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,1
Brake Lights (Defect.or Improper),63,666
"Bus Lane, Driving in",5,38
Cell Phone,94,914
Commercial Veh on Pkwy,0,0
Defective Brakes,4,10
Disobey Sign,426,2734
Equipment (Other),3,4
Fail to Keep Right,0,1
Fail to Signal,41,230
Fail to Stop on Signal,121,596
Following Too Closely,0,0
Headlights (Defect. or Improper),23,297
Improper Lights,0,0
Improper Passing,1,5
Improper Turn,503,2933
Improper/Missing Plates,4,18
Not Giving R of W to Pedes.,59,441
Not Giving R of W to Veh.,0,3
One Way Street,27,133
Pavement Markings,60,537
Safety Belt,15,210
"School Bus, Passing Stopped",1,20
Speeding,4,54
Spillback,4,11
Tinted Windows,38,233
Truck Routes,2,52
U-Turn,0,8
Uninspected,7,66
Uninsured,84,647
Unlicensed Operator,41,309
Unregistered,22,271
Unsafe Lane Change,25,170
Other Movers,116,521
019    TOTAL Movers ,1793,12133
