"Moving Violations",,
"44th Precinct",,
"    July ",,
044sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",5,37
"Brake Lights (Defect.or Improper)",39,227
"Bus Lane, Driving in",0,1
"Cell Phone",60,442
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",140,1068
"Equipment (Other)",15,71
"Fail to Keep Right",0,0
"Fail to Signal",15,81
"Fail to Stop on Signal",48,260
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",41,279
"Improper Lights",0,0
"Improper Passing",1,2
"Improper Turn",12,66
"Improper/Missing Plates",7,53
"Not Giving R of W to Pedes.",23,138
"Not Giving R of W to Veh.",5,22
"One Way Street",7,24
"Pavement Markings",32,150
"Safety Belt",176,951
"School Bus, Passing Stopped",0,25
Speeding,81,508
Spillback,0,31
"Tinted Windows",44,446
"Truck Routes",0,17
U-Turn,4,36
Uninspected,9,44
Uninsured,45,261
"Unlicensed Operator",69,434
Unregistered,43,164
"Unsafe Lane Change",1,9
"Other Movers",32,133
"044    TOTAL Movers ",954,5982
"* All figures are preliminary and subject to change.",,
