"Moving Violations",,
"49th Precinct",,
"December ",,
049sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,10
"Brake Lights (Defect.or Improper)",42,530
"Bus Lane, Driving in",0,2
"Cell Phone",42,636
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,24
"Disobey Steady Red Signal",15,215
"Disobey Traffic Control Device",74,1041
"Equipment (Other)",1,12
"Fail to Keep Right",0,2
"Fail to Signal",12,474
"Following Too Closely",1,7
"Headlights (Defect. or Improper)",29,294
"Improper Lights",6,11
"Improper Passing",0,1
"Improper Turn",20,198
"Improper/Missing Plates",5,29
"Not Giving R of W to Pedes.",10,193
"Not Giving R of W to Veh.",5,26
"One Way Street",0,15
"Pavement Markings",7,370
"Safety Belt",58,1110
"School Bus, Passing Stopped",4,66
Speeding,23,347
Spillback,0,1
"Tinted Windows",72,746
"Truck Routes",0,1
U-Turn,3,46
Uninspected,3,33
Uninsured,27,336
"Unlicensed Operator",36,633
Unregistered,8,100
"Unsafe Lane Change",2,28
"Other Movers",8,176
"049    TOTAL Movers ",513,7714
"* All figures are preliminary and subject to change.",,
