"Moving Violations",,
"25th Precinct",,
"December ",,
025sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",7,45
"Brake Lights (Defect.or Improper)",8,430
"Bus Lane, Driving in",2,9
"Cell Phone",95,1592
"Commercial Veh on Pkwy",0,1
"Defective Brakes",2,25
"Disobey Steady Red Signal",27,547
"Disobey Traffic Control Device",52,434
"Equipment (Other)",1,146
"Fail to Keep Right",1,2
"Fail to Signal",9,324
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",9,357
"Improper Lights",0,6
"Improper Passing",2,32
"Improper Turn",251,1852
"Improper/Missing Plates",3,99
"Not Giving R of W to Pedes.",25,543
"Not Giving R of W to Veh.",2,32
"One Way Street",22,189
"Pavement Markings",6,165
"Safety Belt",84,1435
"School Bus, Passing Stopped",2,211
Speeding,16,286
Spillback,0,19
"Tinted Windows",71,1256
"Truck Routes",1,237
U-Turn,11,448
Uninspected,6,53
Uninsured,38,585
"Unlicensed Operator",26,477
Unregistered,5,173
"Unsafe Lane Change",2,33
"Other Movers",23,709
"025    TOTAL Movers ",809,12753
"* All figures are preliminary and subject to change.",,
