"Moving Violations",,
"33rd Precinct",,
"December ",,
033sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,26
"Brake Lights (Defect.or Improper)",8,350
"Bus Lane, Driving in",0,0
"Cell Phone",21,866
"Commercial Veh on Pkwy",0,7
"Defective Brakes",0,2
"Disobey Steady Red Signal",29,404
"Disobey Traffic Control Device",26,555
"Equipment (Other)",3,22
"Fail to Keep Right",0,3
"Fail to Signal",8,155
"Following Too Closely",0,4
"Headlights (Defect. or Improper)",6,117
"Improper Lights",0,3
"Improper Passing",3,7
"Improper Turn",30,334
"Improper/Missing Plates",4,52
"Not Giving R of W to Pedes.",26,411
"Not Giving R of W to Veh.",6,17
"One Way Street",5,48
"Pavement Markings",3,22
"Safety Belt",17,629
"School Bus, Passing Stopped",0,24
Speeding,33,590
Spillback,2,9
"Tinted Windows",17,280
"Truck Routes",5,152
U-Turn,6,130
Uninspected,1,21
Uninsured,14,298
"Unlicensed Operator",8,240
Unregistered,3,104
"Unsafe Lane Change",3,32
"Other Movers",31,656
"033    TOTAL Movers ",319,6570
"* All figures are preliminary and subject to change.",,
