"Moving Violations",,
"19th Precinct",,
"December ",,
019sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,16
"Brake Lights (Defect.or Improper)",18,981
"Bus Lane, Driving in",3,69
"Cell Phone",38,1392
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,10
"Disobey Steady Red Signal",28,1033
"Disobey Traffic Control Device",73,4045
"Equipment (Other)",1,29
"Fail to Keep Right",0,1
"Fail to Signal",8,394
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",6,388
"Improper Lights",0,3
"Improper Passing",0,16
"Improper Turn",152,4435
"Improper/Missing Plates",2,44
"Not Giving R of W to Pedes.",51,699
"Not Giving R of W to Veh.",0,4
"One Way Street",3,198
"Pavement Markings",65,1062
"Safety Belt",8,286
"School Bus, Passing Stopped",0,30
Speeding,2,85
Spillback,0,14
"Tinted Windows",25,370
"Truck Routes",3,72
U-Turn,0,10
Uninspected,3,78
Uninsured,32,906
"Unlicensed Operator",15,469
Unregistered,7,382
"Unsafe Lane Change",13,301
"Other Movers",8,711
"019    TOTAL Movers ",566,18536
"* All figures are preliminary and subject to change.",,
