Transportation Bureau,,
November ,,
"","",""
Backing Unsafely,10,127
Bike Lane,3,47
Bus Lane,167,5573
Cell Phone,253,4025
Commercial Veh on Pkwy,309,2828
Cruising For Passengers,0,1
Disobey Traffic Control Device,3097,33140
Driving Too Slow,2,16
Equipment,540,11234
Equipment (Other),3,26
Excessive Noise,0,1
Fail to Keep Right,2,4
Fail to yield Right of Way to Pedestrian,49,1712
Failure to Signal,375,3779
Following Too Closely,59,665
Improper Passing,31,461
Improper Taxi Pickup,239,2912
Improper Turn,1511,12919
Improper/Missing Plates,12,263
Lamps and Other Equipment on Bicycle,0,7
Motorcycle (Other),30,914
Not Giving R of W to Veh.,15,277
Obstructed Plate,126,1679
One Way Street,106,1275
Overheight,4,33
Overlength,1,133
Overweight,14,754
Overwidth,0,89
Pavement Markings,19,93
Red Light,250,2344
School Bus,4,461
Scooter In NYC,0,0
Seat Belt,468,11876
Speeding,6890,78789
Spillback,1082,6534
TBTA Rule,0,1
Tints,1097,22112
TLC (Other),0,1
Truck Route,33,567
Uninspected,60,1282
Uninsured,156,1984
Unlicensed Operator,604,7177
Unregistered,191,2208
Unsafe Lane Change,185,1985
Other Movers,1333,17409
TCDTOTAL Movers ,19330,239717
