Housing Bureau,,
November ,,
"","",""
Backing Unsafely,0,6
Bike Lane,0,0
Bus Lane,0,16
Cell Phone,0,2
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,3,108
Driving Too Slow,0,0
Equipment,7,80
Equipment (Other),1,2
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,0,1
Failure to Signal,2,17
Following Too Closely,0,2
Improper Passing,0,3
Improper Taxi Pickup,0,5
Improper Turn,0,23
Improper/Missing Plates,0,1
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,1
Not Giving R of W to Veh.,0,5
Obstructed Plate,2,21
One Way Street,0,4
Overheight,0,0
Overlength,0,0
Overweight,0,1
Overwidth,0,0
Pavement Markings,0,1
Red Light,4,25
School Bus,0,2
Scooter In NYC,0,0
Seat Belt,0,36
Speeding,0,12
Spillback,0,8
TBTA Rule,0,0
Tints,3,123
TLC (Other),0,0
Truck Route,0,0
Uninspected,0,1
Uninsured,1,15
Unlicensed Operator,7,41
Unregistered,1,15
Unsafe Lane Change,0,3
Other Movers,1,24
HOUSINGTOTAL Movers ,32,604
