Citywide,,
November ,,
"","",""
Backing Unsafely,115,925
Bike Lane,55,513
Bus Lane,561,7481
Cell Phone,3118,46654
Commercial Veh on Pkwy,331,3099
Cruising For Passengers,1,13
Disobey Traffic Control Device,17918,196810
Driving Too Slow,3,39
Equipment,2180,34572
Equipment (Other),8,70
Excessive Noise,0,4
Fail to Keep Right,6,117
Fail to yield Right of Way to Pedestrian,4804,50318
Failure to Signal,1642,20167
Following Too Closely,85,921
Improper Passing,169,2339
Improper Taxi Pickup,260,3339
Improper Turn,7448,84490
Improper/Missing Plates,62,1279
Lamps and Other Equipment on Bicycle,3,93
Motorcycle (Other),64,1916
Not Giving R of W to Veh.,107,1450
Obstructed Plate,704,8202
One Way Street,407,5612
Overheight,4,37
Overlength,6,167
Overweight,14,758
Overwidth,0,89
Pavement Markings,31,280
Red Light,5825,67211
School Bus,148,2186
Scooter In NYC,6,15
Seat Belt,4536,76405
Speeding,12644,142903
Spillback,1162,7576
TBTA Rule,0,1
Tints,3842,59342
TLC (Other),0,2
Truck Route,170,2367
Uninspected,193,3959
Uninsured,1073,13952
Unlicensed Operator,4040,49332
Unregistered,787,10376
Unsafe Lane Change,408,4821
Other Movers,7114,88103
CitywideTOTAL Movers ,82054,1000305
