"Moving Violations",,
"32nd Precinct",,
"   April ",,
032sum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",1,6
"Brake Lights (Defect.or Improper)",5,24
"Bus Lane, Driving in",0,1
"Cell Phone",29,160
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",55,247
"Disobey Traffic Control Device",358,1182
"Equipment (Other)",4,5
"Fail to Keep Right",0,0
"Fail to Signal",11,32
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",2,30
"Improper Lights",0,0
"Improper Passing",1,5
"Improper Turn",215,525
"Improper/Missing Plates",4,15
"Lamps and Other Equipment on Bicycle",0,0
"Not Giving R of W to Pedes.",74,272
"Not Giving R of W to Veh.",7,14
"OBSTRUCTED PLATE",7,29
"One Way Street",1,3
"Pavement Markings",148,511
"Safety Belt",12,55
"School Bus, Passing Stopped",6,12
Speeding,81,310
Spillback,0,2
"Tinted Windows",116,423
"Truck Routes",0,0
U-Turn,2,6
Uninspected,6,26
Uninsured,12,57
"Unlicensed Operator",64,207
Unregistered,12,52
"Unsafe Lane Change",3,9
"Other Movers",25,94
"032TOTAL Movers ",1261,4315
,,
"* All figures are preliminary and subject to change.",,
