"Moving Violations",,
"73rd Precinct",,
" January ",,
073sum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",1,1
"Brake Lights (Defect.or Improper)",14,14
"Bus Lane, Driving in",0,0
"Cell Phone",49,49
"Commercial Veh on Pkwy",2,2
"Defective Brakes",0,0
"Disobey Steady Red Signal",147,147
"Disobey Traffic Control Device",329,329
"Equipment (Other)",15,15
"Fail to Keep Right",0,0
"Fail to Signal",45,45
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",27,27
"Improper Lights",3,3
"Improper Passing",2,2
"Improper Turn",99,99
"Improper/Missing Plates",7,7
"Not Giving R of W to Pedes.",40,40
"Not Giving R of W to Veh.",5,5
"OBSTRUCTED PLATE",0,0
"One Way Street",0,0
"Pavement Markings",0,0
"Safety Belt",31,31
"School Bus, Passing Stopped",1,1
Speeding,43,43
Spillback,0,0
"Tinted Windows",212,212
"Truck Routes",0,0
U-Turn,3,3
Uninspected,3,3
Uninsured,72,72
"Unlicensed Operator",90,90
Unregistered,12,12
"Unsafe Lane Change",0,0
"Other Movers",150,150
"073TOTAL Movers ",1402,1402
,,
"* All figures are preliminary and subject to change.",,
