"Moving Violations",,
"Central Park Precinct",,
"February ",,
022sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",4,9
"Bus Lane, Driving in",16,33
"Cell Phone",16,35
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",24,36
"Disobey Traffic Control Device",8,19
"Equipment (Other)",5,7
"Fail to Keep Right",0,0
"Fail to Signal",4,12
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",5,17
"Improper Lights",0,0
"Improper Passing",3,4
"Improper Turn",100,200
"Improper/Missing Plates",8,8
"Not Giving R of W to Pedes.",14,33
"Not Giving R of W to Veh.",0,0
"One Way Street",0,0
"Pavement Markings",15,25
"Safety Belt",9,18
"School Bus, Passing Stopped",0,5
Speeding,32,71
Spillback,0,0
"Tinted Windows",24,62
"Truck Routes",0,0
U-Turn,0,0
Uninspected,7,14
Uninsured,20,31
"Unlicensed Operator",10,15
Unregistered,4,7
"Unsafe Lane Change",0,0
"Other Movers",6,14
"022TOTAL Movers ",334,676
,,
"* All figures are preliminary and subject to change.",,
