"Moving Violations",,
"107th Precinct",,
" January ",,
107sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",8,8
"Bus Lane, Driving in",0,0
"Cell Phone",51,51
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",10,10
"Disobey Traffic Control Device",170,170
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",11,11
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",10,10
"Improper Lights",2,2
"Improper Passing",1,1
"Improper Turn",204,204
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",12,12
"Not Giving R of W to Veh.",15,15
"One Way Street",1,1
"Pavement Markings",1,1
"Safety Belt",86,86
"School Bus, Passing Stopped",0,0
Speeding,27,27
Spillback,0,0
"Tinted Windows",21,21
"Truck Routes",0,0
U-Turn,5,5
Uninspected,3,3
Uninsured,8,8
"Unlicensed Operator",39,39
Unregistered,2,2
"Unsafe Lane Change",0,0
"Other Movers",29,29
"107    TOTAL Movers ",716,716
"* All figures are preliminary and subject to change.",,
