"Moving Violations",,
"7th Precinct",,
" January ",,
007sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",1,1
"Brake Lights (Defect.or Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",70,70
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",38,38
"Disobey Traffic Control Device",133,133
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",7,7
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,0
"Improper Lights",34,34
"Improper Passing",0,0
"Improper Turn",60,60
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",21,21
"Not Giving R of W to Veh.",0,0
"One Way Street",0,0
"Pavement Markings",0,0
"Safety Belt",53,53
"School Bus, Passing Stopped",0,0
Speeding,5,5
Spillback,2,2
"Tinted Windows",15,15
"Truck Routes",2,2
U-Turn,0,0
Uninspected,1,1
Uninsured,13,13
"Unlicensed Operator",12,12
Unregistered,3,3
"Unsafe Lane Change",4,4
"Other Movers",20,20
"007    TOTAL Movers ",494,494
"* All figures are preliminary and subject to change.",,
