"Moving Violations",,
"72nd Precinct",,
" January ",,
072sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",2,2
"Brake Lights (Defect.or Improper)",1,1
"Bus Lane, Driving in",0,0
"Cell Phone",15,15
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",33,33
"Disobey Traffic Control Device",56,56
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",6,6
"Following Too Closely",4,4
"Headlights (Defect. or Improper)",2,2
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",25,25
"Improper/Missing Plates",5,5
"Not Giving R of W to Pedes.",4,4
"Not Giving R of W to Veh.",3,3
"One Way Street",1,1
"Pavement Markings",14,14
"Safety Belt",22,22
"School Bus, Passing Stopped",1,1
Speeding,15,15
Spillback,0,0
"Tinted Windows",14,14
"Truck Routes",1,1
U-Turn,19,19
Uninspected,2,2
Uninsured,11,11
"Unlicensed Operator",34,34
Unregistered,7,7
"Unsafe Lane Change",9,9
"Other Movers",12,12
"072    TOTAL Movers ",318,318
"* All figures are preliminary and subject to change.",,
