"Moving Violations",,
"101st Precinct",,
" January ",,
101sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",3,3
"Brake Lights (Defect.or Improper)",35,35
"Bus Lane, Driving in",0,0
"Cell Phone",54,54
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",23,23
"Disobey Traffic Control Device",73,73
"Equipment (Other)",5,5
"Fail to Keep Right",0,0
"Fail to Signal",22,22
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",43,43
"Improper Lights",3,3
"Improper Passing",1,1
"Improper Turn",6,6
"Improper/Missing Plates",3,3
"Not Giving R of W to Pedes.",18,18
"Not Giving R of W to Veh.",0,0
"One Way Street",2,2
"Pavement Markings",4,4
"Safety Belt",45,45
"School Bus, Passing Stopped",0,0
Speeding,49,49
Spillback,0,0
"Tinted Windows",39,39
"Truck Routes",0,0
U-Turn,1,1
Uninspected,12,12
Uninsured,46,46
"Unlicensed Operator",86,86
Unregistered,8,8
"Unsafe Lane Change",1,1
"Other Movers",25,25
"101    TOTAL Movers ",607,607
"* All figures are preliminary and subject to change.",,
