"Moving Violations",,
"30th Precinct",,
" January ",,
030sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",21,21
"Bus Lane, Driving in",0,0
"Cell Phone",22,22
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",72,72
"Disobey Traffic Control Device",106,106
"Equipment (Other)",0,0
"Fail to Keep Right",3,3
"Fail to Signal",61,61
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",7,7
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",65,65
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",63,63
"Not Giving R of W to Veh.",2,2
"One Way Street",0,0
"Pavement Markings",7,7
"Safety Belt",16,16
"School Bus, Passing Stopped",1,1
Speeding,19,19
Spillback,0,0
"Tinted Windows",15,15
"Truck Routes",22,22
U-Turn,0,0
Uninspected,0,0
Uninsured,9,9
"Unlicensed Operator",17,17
Unregistered,2,2
"Unsafe Lane Change",0,0
"Other Movers",26,26
"030    TOTAL Movers ",556,556
"* All figures are preliminary and subject to change.",,
