10th Precinct,,
 January ,,
010sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,2,2
Brake Lights (Defect.or Improper),27,27
"Bus Lane, Driving in",0,0
Cell Phone,101,101
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,48,48
Disobey Traffic Control Device,117,117
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,15,15
Following Too Closely,1,1
Headlights (Defect. or Improper),36,36
Improper Lights,9,9
Improper Passing,0,0
Improper Turn,100,100
Improper/Missing Plates,0,0
Not Giving R of W to Pedes.,37,37
Not Giving R of W to Veh.,0,0
One Way Street,3,3
Pavement Markings,6,6
Safety Belt,75,75
"School Bus, Passing Stopped",0,0
Speeding,8,8
Spillback,0,0
Tinted Windows,22,22
Truck Routes,7,7
U-Turn,0,0
Uninspected,2,2
Uninsured,7,7
Unlicensed Operator,28,28
Unregistered,9,9
Unsafe Lane Change,1,1
Other Movers,39,39
010    TOTAL Movers ,700,700
