"Moving Violations",,
"Central Park Precinct",,
" January ",,
022sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",21,21
"Bus Lane, Driving in",0,0
"Cell Phone",5,5
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",12,12
"Disobey Traffic Control Device",8,8
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",9,9
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",25,25
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",49,49
"Improper/Missing Plates",1,1
"Not Giving R of W to Pedes.",1,1
"Not Giving R of W to Veh.",0,0
"One Way Street",1,1
"Pavement Markings",18,18
"Safety Belt",1,1
"School Bus, Passing Stopped",0,0
Speeding,45,45
Spillback,0,0
"Tinted Windows",15,15
"Truck Routes",0,0
U-Turn,1,1
Uninspected,0,0
Uninsured,7,7
"Unlicensed Operator",4,4
Unregistered,2,2
"Unsafe Lane Change",0,0
"Other Movers",3,3
"022    TOTAL Movers ",228,228
"* All figures are preliminary and subject to change.",,
