Patrol Bureau,,
 January ,,
patrolsum,,
"",MTD   2015,YTD   2015
Backing Unsafely,103,103
Brake Lights (Defect.or Improper),1295,1295
"Bus Lane, Driving in",73,73
Cell Phone,4282,4282
Commercial Veh on Pkwy,3,3
Defective Brakes,8,8
Disobey Steady Red Signal,2906,2906
Disobey Traffic Control Device,8887,8887
Equipment (Other),191,191
Fail to Keep Right,17,17
Fail to Signal,1592,1592
Following Too Closely,28,28
Headlights (Defect. or Improper),1743,1743
Improper Lights,253,253
Improper Passing,173,173
Improper Turn,4537,4537
Improper/Missing Plates,167,167
Not Giving R of W to Pedes.,1964,1964
Not Giving R of W to Veh.,213,213
One Way Street,200,200
Pavement Markings,930,930
Safety Belt,4028,4028
"School Bus, Passing Stopped",109,109
Speeding,2742,2742
Spillback,146,146
Tinted Windows,4300,4300
Truck Routes,268,268
U-Turn,501,501
Uninspected,209,209
Uninsured,2249,2249
Unlicensed Operator,3089,3089
Unregistered,606,606
Unsafe Lane Change,448,448
Other Movers,2382,2382
PATROL TOTAL Movers ,50642,50642
