"Moving Violations",,
"122nd Precinct",,
" January ",,
122sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",10,10
"Bus Lane, Driving in",2,2
"Cell Phone",24,24
"Commercial Veh on Pkwy",2,2
"Defective Brakes",0,0
"Disobey Steady Red Signal",11,11
"Disobey Traffic Control Device",121,121
"Equipment (Other)",5,5
"Fail to Keep Right",0,0
"Fail to Signal",41,41
"Following Too Closely",3,3
"Headlights (Defect. or Improper)",13,13
"Improper Lights",1,1
"Improper Passing",0,0
"Improper Turn",1,1
"Improper/Missing Plates",7,7
"Not Giving R of W to Pedes.",9,9
"Not Giving R of W to Veh.",4,4
"One Way Street",3,3
"Pavement Markings",14,14
"Safety Belt",45,45
"School Bus, Passing Stopped",1,1
Speeding,98,98
Spillback,0,0
"Tinted Windows",74,74
"Truck Routes",1,1
U-Turn,9,9
Uninspected,3,3
Uninsured,35,35
"Unlicensed Operator",50,50
Unregistered,12,12
"Unsafe Lane Change",7,7
"Other Movers",38,38
"122    TOTAL Movers ",644,644
"* All figures are preliminary and subject to change.",,
