19th Precinct,,
 January ,,
019sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,2,2
Brake Lights (Defect.or Improper),17,17
"Bus Lane, Driving in",3,3
Cell Phone,41,41
Commercial Veh on Pkwy,0,0
Defective Brakes,2,2
Disobey Steady Red Signal,40,40
Disobey Traffic Control Device,187,187
Equipment (Other),1,1
Fail to Keep Right,1,1
Fail to Signal,41,41
Following Too Closely,0,0
Headlights (Defect. or Improper),21,21
Improper Lights,0,0
Improper Passing,2,2
Improper Turn,346,346
Improper/Missing Plates,2,2
Not Giving R of W to Pedes.,64,64
Not Giving R of W to Veh.,0,0
One Way Street,8,8
Pavement Markings,34,34
Safety Belt,13,13
"School Bus, Passing Stopped",1,1
Speeding,5,5
Spillback,2,2
Tinted Windows,8,8
Truck Routes,3,3
U-Turn,0,0
Uninspected,2,2
Uninsured,34,34
Unlicensed Operator,34,34
Unregistered,10,10
Unsafe Lane Change,10,10
Other Movers,17,17
019    TOTAL Movers ,951,951
