"Moving Violations",,
"1st Precinct",,
" January ",,
001sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",4,4
"Bus Lane, Driving in",1,1
"Cell Phone",153,153
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",66,66
"Disobey Traffic Control Device",129,129
"Equipment (Other)",7,7
"Fail to Keep Right",0,0
"Fail to Signal",10,10
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",10,10
"Improper Lights",2,2
"Improper Passing",0,0
"Improper Turn",90,90
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",31,31
"Not Giving R of W to Veh.",1,1
"One Way Street",12,12
"Pavement Markings",16,16
"Safety Belt",56,56
"School Bus, Passing Stopped",0,0
Speeding,2,2
Spillback,0,0
"Tinted Windows",59,59
"Truck Routes",3,3
U-Turn,0,0
Uninspected,0,0
Uninsured,4,4
"Unlicensed Operator",6,6
Unregistered,0,0
"Unsafe Lane Change",2,2
"Other Movers",7,7
"001    TOTAL Movers ",671,671
"* All figures are preliminary and subject to change.",,
