"Moving Violations",,
"6th Precinct",,
" January ",,
006sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",3,3
"Bus Lane, Driving in",0,0
"Cell Phone",46,46
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",63,63
"Disobey Traffic Control Device",76,76
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",63,63
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",2,2
"Improper Lights",0,0
"Improper Passing",3,3
"Improper Turn",71,71
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",48,48
"Not Giving R of W to Veh.",6,6
"One Way Street",5,5
"Pavement Markings",0,0
"Safety Belt",28,28
"School Bus, Passing Stopped",0,0
Speeding,4,4
Spillback,1,1
"Tinted Windows",6,6
"Truck Routes",0,0
U-Turn,4,4
Uninspected,0,0
Uninsured,9,9
"Unlicensed Operator",10,10
Unregistered,0,0
"Unsafe Lane Change",12,12
"Other Movers",9,9
"006    TOTAL Movers ",469,469
"* All figures are preliminary and subject to change.",,
