"Moving Violations",,
"23rd Precinct",,
" January ",,
023sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",1,1
"Brake Lights (Defect.or Improper)",11,11
"Bus Lane, Driving in",0,0
"Cell Phone",144,144
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",62,62
"Disobey Traffic Control Device",30,30
"Equipment (Other)",4,4
"Fail to Keep Right",0,0
"Fail to Signal",4,4
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",20,20
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",50,50
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",57,57
"Not Giving R of W to Veh.",0,0
"One Way Street",0,0
"Pavement Markings",0,0
"Safety Belt",47,47
"School Bus, Passing Stopped",0,0
Speeding,10,10
Spillback,0,0
"Tinted Windows",14,14
"Truck Routes",2,2
U-Turn,0,0
Uninspected,0,0
Uninsured,3,3
"Unlicensed Operator",10,10
Unregistered,0,0
"Unsafe Lane Change",4,4
"Other Movers",11,11
"023    TOTAL Movers ",484,484
"* All figures are preliminary and subject to change.",,
