42nd Precinct,,
 January ,,
042sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,3,3
Brake Lights (Defect.or Improper),6,6
"Bus Lane, Driving in",0,0
Cell Phone,40,40
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,91,91
Disobey Traffic Control Device,77,77
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,0,0
Following Too Closely,0,0
Headlights (Defect. or Improper),29,29
Improper Lights,2,2
Improper Passing,3,3
Improper Turn,185,185
Improper/Missing Plates,0,0
Not Giving R of W to Pedes.,34,34
Not Giving R of W to Veh.,5,5
One Way Street,0,0
Pavement Markings,2,2
Safety Belt,10,10
"School Bus, Passing Stopped",6,6
Speeding,21,21
Spillback,1,1
Tinted Windows,109,109
Truck Routes,0,0
U-Turn,0,0
Uninspected,4,4
Uninsured,17,17
Unlicensed Operator,35,35
Unregistered,9,9
Unsafe Lane Change,3,3
Other Movers,12,12
042    TOTAL Movers ,704,704
