"Moving Violations",,
"52nd Precinct",,
" January ",,
052sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",2,2
"Brake Lights (Defect.or Improper)",120,120
"Bus Lane, Driving in",17,17
"Cell Phone",33,33
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",36,36
"Disobey Traffic Control Device",43,43
"Equipment (Other)",1,1
"Fail to Keep Right",1,1
"Fail to Signal",30,30
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",69,69
"Improper Lights",13,13
"Improper Passing",0,0
"Improper Turn",37,37
"Improper/Missing Plates",6,6
"Not Giving R of W to Pedes.",7,7
"Not Giving R of W to Veh.",5,5
"One Way Street",0,0
"Pavement Markings",11,11
"Safety Belt",26,26
"School Bus, Passing Stopped",4,4
Speeding,65,65
Spillback,0,0
"Tinted Windows",185,185
"Truck Routes",2,2
U-Turn,6,6
Uninspected,5,5
Uninsured,23,23
"Unlicensed Operator",89,89
Unregistered,16,16
"Unsafe Lane Change",5,5
"Other Movers",8,8
"052    TOTAL Movers ",865,865
"* All figures are preliminary and subject to change.",,
