"Moving Violations",,
"Staten Island",,
" January ",,
pbsisum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",4,4
"Brake Lights (Defect.or Improper)",56,56
"Bus Lane, Driving in",2,2
"Cell Phone",102,102
"Commercial Veh on Pkwy",2,2
"Defective Brakes",0,0
"Disobey Steady Red Signal",99,99
"Disobey Traffic Control Device",349,349
"Equipment (Other)",13,13
"Fail to Keep Right",0,0
"Fail to Signal",206,206
"Following Too Closely",5,5
"Headlights (Defect. or Improper)",117,117
"Improper Lights",3,3
"Improper Passing",4,4
"Improper Turn",15,15
"Improper/Missing Plates",22,22
"Not Giving R of W to Pedes.",26,26
"Not Giving R of W to Veh.",13,13
"One Way Street",3,3
"Pavement Markings",117,117
"Safety Belt",157,157
"School Bus, Passing Stopped",3,3
Speeding,296,296
Spillback,2,2
"Tinted Windows",227,227
"Truck Routes",1,1
U-Turn,15,15
Uninspected,19,19
Uninsured,138,138
"Unlicensed Operator",228,228
Unregistered,36,36
"Unsafe Lane Change",14,14
"Other Movers",108,108
"PBSI   TOTAL Movers ",2402,2402
"* All figures are preliminary and subject to change.",,
