"Moving Violations",,
"33rd Precinct",,
" January ",,
033sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",5,5
"Brake Lights (Defect.or Improper)",19,19
"Bus Lane, Driving in",0,0
"Cell Phone",47,47
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",30,30
"Disobey Traffic Control Device",46,46
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",15,15
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",8,8
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",26,26
"Improper/Missing Plates",6,6
"Not Giving R of W to Pedes.",18,18
"Not Giving R of W to Veh.",1,1
"One Way Street",0,0
"Pavement Markings",0,0
"Safety Belt",20,20
"School Bus, Passing Stopped",0,0
Speeding,28,28
Spillback,0,0
"Tinted Windows",26,26
"Truck Routes",2,2
U-Turn,5,5
Uninspected,0,0
Uninsured,13,13
"Unlicensed Operator",16,16
Unregistered,5,5
"Unsafe Lane Change",1,1
"Other Movers",36,36
"033    TOTAL Movers ",373,373
"* All figures are preliminary and subject to change.",,
