"Moving Violations",,
"69th Precinct",,
" January ",,
069sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",3,3
"Brake Lights (Defect.or Improper)",15,15
"Bus Lane, Driving in",0,0
"Cell Phone",37,37
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",9,9
"Disobey Traffic Control Device",45,45
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",2,2
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",47,47
"Improper Lights",0,0
"Improper Passing",12,12
"Improper Turn",46,46
"Improper/Missing Plates",5,5
"Not Giving R of W to Pedes.",4,4
"Not Giving R of W to Veh.",3,3
"One Way Street",0,0
"Pavement Markings",4,4
"Safety Belt",45,45
"School Bus, Passing Stopped",1,1
Speeding,11,11
Spillback,0,0
"Tinted Windows",49,49
"Truck Routes",8,8
U-Turn,0,0
Uninspected,0,0
Uninsured,32,32
"Unlicensed Operator",20,20
Unregistered,9,9
"Unsafe Lane Change",0,0
"Other Movers",20,20
"069    TOTAL Movers ",427,427
"* All figures are preliminary and subject to change.",,
