"Moving Violations",,
"111th Precinct",,
" January ",,
111sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",4,4
"Bus Lane, Driving in",0,0
"Cell Phone",108,108
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",12,12
"Disobey Traffic Control Device",24,24
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",2,2
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",8,8
"Improper Lights",8,8
"Improper Passing",0,0
"Improper Turn",0,0
"Improper/Missing Plates",3,3
"Not Giving R of W to Pedes.",27,27
"Not Giving R of W to Veh.",0,0
"One Way Street",0,0
"Pavement Markings",6,6
"Safety Belt",114,114
"School Bus, Passing Stopped",0,0
Speeding,31,31
Spillback,0,0
"Tinted Windows",71,71
"Truck Routes",1,1
U-Turn,1,1
Uninspected,7,7
Uninsured,19,19
"Unlicensed Operator",35,35
Unregistered,3,3
"Unsafe Lane Change",0,0
"Other Movers",77,77
"111    TOTAL Movers ",561,561
"* All figures are preliminary and subject to change.",,
