"Moving Violations",,
"Staten Island",,
"   March ",,
pbsisum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",7,21
"Brake Lights (Defect.or Improper)",53,130
"Bus Lane, Driving in",1,6
"Cell Phone",344,802
"Commercial Veh on Pkwy",3,6
"Defective Brakes",0,3
"Disobey Steady Red Signal",277,740
"Disobey Traffic Control Device",968,2587
"Equipment (Other)",21,57
"Fail to Keep Right",2,4
"Fail to Signal",400,1071
"Following Too Closely",12,34
"Headlights (Defect. or Improper)",73,200
"Improper Lights",3,4
"Improper Passing",14,46
"Improper Turn",59,140
"Improper/Missing Plates",35,91
"Lamps and Other Equipment on Bicycle",0,0
"Not Giving R of W to Pedes.",142,342
"Not Giving R of W to Veh.",39,100
"OBSTRUCTED PLATE",26,88
"One Way Street",8,19
"Pavement Markings",162,395
"Safety Belt",387,993
"School Bus, Passing Stopped",54,78
Speeding,895,2239
Spillback,1,1
"Tinted Windows",335,936
"Truck Routes",0,1
U-Turn,13,44
Uninspected,27,115
Uninsured,218,644
"Unlicensed Operator",426,1164
Unregistered,55,156
"Unsafe Lane Change",31,92
"Other Movers",428,1234
"PBSITOTAL Movers ",5519,14583
,,
"* All figures are preliminary and subject to change.",,
