"Moving Violations",,
"Housing Bureau",,
"   March ",,
housingsum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",1,1
"Brake Lights (Defect.or Improper)",0,1
"Bus Lane, Driving in",0,0
"Cell Phone",1,2
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",0,4
"Disobey Traffic Control Device",1,2
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",0,0
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",1,2
"Improper Lights",0,1
"Improper Passing",0,0
"Improper Turn",0,0
"Improper/Missing Plates",1,2
"Lamps and Other Equipment on Bicycle",0,0
"Not Giving R of W to Pedes.",0,0
"Not Giving R of W to Veh.",1,1
"OBSTRUCTED PLATE",0,0
"One Way Street",0,0
"Pavement Markings",0,0
"Safety Belt",0,2
"School Bus, Passing Stopped",0,1
Speeding,0,0
Spillback,0,0
"Tinted Windows",1,3
"Truck Routes",0,0
U-Turn,0,0
Uninspected,0,1
Uninsured,1,1
"Unlicensed Operator",3,10
Unregistered,0,0
"Unsafe Lane Change",1,1
"Other Movers",2,2
"HOUSINGTOTAL Movers ",14,37
"* Housing Bureau is a citywide unit whose activity is not tracked by Precinct.",,
"* All figures are preliminary and subject to change.",,
