Citywide,,
 January ,,
"","",""
Backing Unsafely,103,103
Bike Lane,20,20
Bus Lane,309,309
Cell Phone,4607,4607
Commercial Veh on Pkwy,326,326
Cruising For Passengers,2,2
Disobey Traffic Control Device,20740,20740
Driving Too Slow,3,3
Equipment,3229,3229
Equipment (Other),6,6
Excessive Noise,0,0
Fail to Keep Right,11,11
Fail to yield Right of Way to Pedestrian,5637,5637
Failure to Signal,2572,2572
Following Too Closely,124,124
Improper Passing,207,207
Improper Taxi Pickup,314,314
Improper Turn,8150,8150
Improper/Missing Plates,79,79
Lamps and Other Equipment on Bicycle,7,7
Motorcycle (Other),23,23
Not Giving R of W to Veh.,170,170
Obstructed Plate,724,724
One Way Street,465,465
Overheight,2,2
Overlength,19,19
Overweight,89,89
Overwidth,12,12
Pavement Markings,20,20
Red Light,6531,6531
School Bus,165,165
Scooter In NYC,0,0
Seat Belt,6887,6887
Speeding,14718,14718
Spillback,819,819
TBTA Rule,0,0
Tints,6235,6235
TLC (Other),0,0
Truck Route,247,247
Uninspected,524,524
Uninsured,1521,1521
Unlicensed Operator,4972,4972
Unregistered,1029,1029
Unsafe Lane Change,546,546
Other Movers,7587,7587
CitywideTOTAL Movers ,99751,99751
