"Moving Violations",,
"32nd Precinct",,
"  August ",,
032sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",5,42
"Brake Lights (Defect.or Improper)",21,298
"Bus Lane, Driving in",0,0
"Cell Phone",47,477
"Commercial Veh on Pkwy",0,5
"Defective Brakes",6,21
"Disobey Sign",76,696
"Equipment (Other)",8,68
"Fail to Keep Right",0,2
"Fail to Signal",51,642
"Fail to Stop on Signal",40,257
"Following Too Closely",0,6
"Headlights (Defect. or Improper)",21,371
"Improper Lights",1,8
"Improper Passing",0,1
"Improper Turn",20,271
"Improper/Missing Plates",0,7
"Not Giving R of W to Pedes.",9,224
"Not Giving R of W to Veh.",0,20
"One Way Street",7,23
"Pavement Markings",124,1158
"Safety Belt",26,362
"School Bus, Passing Stopped",0,15
Speeding,5,151
Spillback,0,16
"Tinted Windows",78,445
"Truck Routes",0,26
U-Turn,4,94
Uninspected,2,29
Uninsured,45,413
"Unlicensed Operator",27,308
Unregistered,4,87
"Unsafe Lane Change",2,29
"Other Movers",27,271
"032    TOTAL Movers ",656,6843
"* All figures are preliminary and subject to change.",,
