"Moving Violations",,
"Manhattan North",,
"     May ",,
pbmnsum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",15,73
"Brake Lights (Defect.or Improper)",81,398
"Bus Lane, Driving in",5,17
"Cell Phone",1025,4356
"Commercial Veh on Pkwy",2,7
"Defective Brakes",0,3
"Disobey Steady Red Signal",909,4387
"Disobey Traffic Control Device",1902,10273
"Equipment (Other)",106,592
"Fail to Keep Right",1,14
"Fail to Signal",100,567
"Following Too Closely",0,10
"Headlights (Defect. or Improper)",62,334
"Improper Lights",0,19
"Improper Passing",38,83
"Improper Turn",2030,9521
"Improper/Missing Plates",31,175
"Lamps and Other Equipment on Bicycle",2,7
"Not Giving R of W to Pedes.",965,4390
"Not Giving R of W to Veh.",3,56
"OBSTRUCTED PLATE",66,332
"One Way Street",16,93
"Pavement Markings",213,1048
"Safety Belt",849,2560
"School Bus, Passing Stopped",25,217
Speeding,257,3646
Spillback,4,20
"Tinted Windows",234,2099
"Truck Routes",20,107
U-Turn,34,246
Uninspected,24,188
Uninsured,143,728
"Unlicensed Operator",335,1664
Unregistered,83,351
"Unsafe Lane Change",36,139
"Other Movers",544,2309
"PBMNTOTAL Movers ",10160,51029
,,
"* All figures are preliminary and subject to change.",,
